UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
Citizen Deb,@Deb_Speaking,2022-09-04T04:40:56.000Z,"I would like to thank 
@UNESCO
 for recognizing #Durgapuja as a heritage festival. As a Bengali, I feel vry proud. From today onwards, our festivities have begun a month in advance. I welcome everyone to see the puja. #NewProfilePic #ThankYou #Unesco #ThankYouUnesco #DurgaPuja2022",,,
Arup Kumar Mondal,@ArupKum72577529,2022-09-03T18:41:36.000Z,"Celebration for City of Joy, Kolkata!
#DurgaPuja has been added to the Representative List of Intangible Cultural Heritage of Humanity. 

.
@AITCofficial
 .
@MamataOfficial",,2,2
Sandipan Mitra,@SMitra_,2022-09-03T17:45:09.000Z,"এবার দুর্গাপুজোর শিল্পকলা নিয়ে প্রিভিউ শো অনুষ্ঠিত হবে কলকাতার ২২টি মণ্ডপে ২২শে সেপ্টেম্বর থেকে ২৪শে সেপ্টেম্বর।

#DurgaPuja #Pujo2022 #UNESCO #DurgaPuja2022",,1,10
geetanjali.,@sunsaiyaann,2022-09-03T17:45:03.000Z,বাঙালির আবেগ  #DurgaPuja,1,,12
Oneindia Bengali,@OneindiaBengali,2022-09-03T17:26:33.000Z,"পুজোর আগেই এসে হাজির ভোগ, রেকর্ড মাপের হাঁড়িতে তৈরি হল খিচুড়ি #durgapuja #kolkata #westbengal #দুর্গাপূজা #কলকাতা #পশ্চিমবঙ্গ",,,
Anandabazar Patrika,@MyAnandaBazar,2022-09-03T17:17:50.000Z,"মঙ্গলগঞ্জে এক সময় ছিল ভূতের রাজত্ব! সেখান থেকে কী ভাবে বদলাল চেহারা?
#travel #durgapuja #anandautsav2022",,1,
Durbadal Biswas - PlanetDB,@DurbadalBiswas,2022-09-03T17:11:05.000Z,"Becoming huge success!!!! celebration begins!!!

Sir please listen to it 
@SrBachchan
#durgapuja #Kolkata
Watch the Video Song here Link:",,,
Tania Das,@tania_9826,2022-09-03T16:40:37.000Z,"মা আসছেন...

#fashionmodeling #model #agomoni #durgapuja",,2,4
Dr. Indranil Mutsuddi,@mytravelnama,2022-09-03T16:23:22.000Z,"জীবনের চালচিত্রে কখনও বানভাসি
কখনও প্রখর রৌদ্র
লোডশেডিং-এ পিদিম হাতে
শেষ রাতে লিওনার্দো দা ভিঞ্চির হাতে
তখনও উজ্জ্বল বেঁচে থাকার ক্যানভাস।
#durgapuja #sarodiya #kolkata #mytravelnama",,,
Debasish Dey,@debasishdeyin,2022-09-03T12:46:45.000Z,"@debasishdeyin
 @Tv9_Bangla
 @TV9Bharatvarsh
 @TV9Marathi
 @TV9Telugu
 @tv9gujarati
 @tv9kannada
 #DurgaPuja #kolkata #durgapuja2022",,,
